EC / List No.,CAS No.,Name,Registration Type,Submission Type,Total Tonnage Band,Dossier ID,Link
233-826-7,10377-60-3,magnesium nitrate,Intermediate,Individual Submission,Intermediate Use Only,DISS-d016e5f3-fdae-2d3b-e044-00144f67d249,Dossier
233-828-8,10377-66-9,manganese dinitrate,Full,Joint Submission,"10,000 + tonnes per annum",DISS-9eb8b2c6-8fd1-6bca-e044-00144f67d031,Dossier
233-828-8,10377-66-9,manganese dinitrate,Full,Individual Submission,1 - 10 tonnes per annum,DISS-e7627168-f6f4-63fd-e044-00144f67d031,Dossier
233-828-8,10377-66-9,manganese dinitrate,Full,Individual Submission,"100 - 1,000 tonnes per annum",DISS-e7627168-f75a-63fd-e044-00144f67d031,Dossier
233-829-3,10377-81-8,"2-aminoethanol, monoester with boric acid",Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d930418-8d04-380b-e044-00144f67d249,Dossier
233-881-7,10411-92-4,cis-4-tert-butylcyclohexyl acetate,Full,Joint Submission,10 - 100 tonnes per annum,DISS-dffb4072-e369-47ae-e044-00144f67d031,Dossier
233-892-7,10416-59-8,trimethylsilyl N-trimethylsilylacetamidate,Intermediate,Individual Submission,Intermediate Use Only,DISS-e7627168-f85c-63fd-e044-00144f67d031,Dossier
233-897-4,10420-33-4,dimethyl acetylsuccinate,Full,Joint Submission,Tonnage Data Confidential,DISS-9ea06f77-8001-24e7-e044-00144f67d031,Dossier
233-899-5,10421-48-4,iron trinitrate,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e385-47ae-e044-00144f67d031,Dossier
233-953-8,10466-65-6,potassium perrhenate,Full,Joint Submission,1 - 10 tonnes per annum,DISS-e5a0779b-8b76-00b9-e044-00144f67d031,Dossier
233-971-6,10476-85-4,strontium chloride,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-dffb4072-e400-47ae-e044-00144f67d031,Dossier
234-042-8,10508-09-5,di-tert-pentyl peroxide,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e398-47ae-e044-00144f67d031,Dossier
234-118-0,10540-29-1,tamoxifen,Intermediate,Joint Submission,Intermediate Use Only,DISS-9ea1f34b-3045-0e1e-e044-00144f67d031,Dossier
234-123-8,10543-57-4,"N,N'-ethylenebis[N-acetylacetamide]",Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9ea8f7c7-26be-2d7c-e044-00144f67d031,Dossier
234-126-4,10544-72-6,dinitrogen tetraoxide,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-d7f60f1f-43c4-1b69-e044-00144f67d031,Dossier
